"Label","Location","Function Signature","Function Size"
"lua_pushthread","141a11d30","thunk undefined lua_pushthread()","5"
"lua_pushvalue","14c98e1d0","undefined lua_pushvalue()","39"
"lua_pushvalue","141a11d60","thunk undefined lua_pushvalue()","5"
"lua_pushvfstring","14c98e4a0","undefined lua_pushvfstring()","75"
"lua_pushvfstring","141a11d90","thunk undefined lua_pushvfstring()","5"
"lua_rawequal","14c98e690","undefined lua_rawequal()","71"
"lua_rawequal","141a11de0","thunk undefined lua_rawequal()","5"
"lua_rawget","14c98e930","undefined lua_rawget()","58"
"lua_rawget","141a11e30","thunk undefined lua_rawget()","5"
"lua_rawgeti","14c98ebc0","undefined lua_rawgeti()","55"
"lua_rawgeti","141a11e70","thunk undefined lua_rawgeti()","5"
"lua_rawset","14c98ed50","undefined lua_rawset()","131"
"lua_rawset","141a11eb0","thunk undefined lua_rawset()","5"
"lua_rawseti","14c98efe0","undefined lua_rawseti()","130"
"lua_rawseti","141a11f30","thunk undefined lua_rawseti()","5"
"lua_remove","14c98f0f0","undefined lua_remove()","74"
"lua_remove","141a11fb0","thunk undefined lua_remove()","5"
"lua_replace","14c98f490","undefined lua_replace()","222"
"lua_replace","141a12000","thunk undefined lua_replace()","5"
"lua_resume","14c996a10","undefined lua_resume()","305"
"lua_resume","141a136b0","thunk undefined lua_resume()","5"
"lua_setfenv","14c98f9f0","undefined lua_setfenv()","163"
"lua_setfenv","141a120f0","thunk undefined lua_setfenv()","5"
"lua_setfield","14c990870","undefined lua_setfield()","106"
"lua_setfield","141a12190","thunk undefined lua_setfield()","5"
"lua_sethook","14ca99f50","undefined lua_sethook()","37"
"lua_sethook","141a21130","thunk undefined lua_sethook()","5"
"lua_setlocal","14ca9a230","undefined lua_setlocal()","117"
"lua_setlocal","141a21160","thunk undefined lua_setlocal()","5"
"lua_setmetatable","14c990a80","undefined lua_setmetatable()","193"
"lua_setmetatable","141a12210","thunk undefined lua_setmetatable()","5"
"lua_settable","14c990bd0","undefined lua_settable()","50"
"lua_settable","141a122d0","thunk undefined lua_settable()","5"
"lua_settop","14c990ed0","undefined lua_settop()","85"
"lua_settop","141a12300","thunk undefined lua_settop()","5"
"lua_setupvalue","141a12360","undefined lua_setupvalue()","226"
"lua_status","14095dec0","undefined lua_status()","5"
"lua_toboolean","14c991120","undefined lua_toboolean()","43"
"lua_toboolean","141a12450","thunk undefined lua_toboolean()","5"
"lua_tocfunction","14c991460","lua_CFunction lua_tocfunction(lua_State * L, int idx)","40"
"lua_tocfunction","141a12480","thunk lua_CFunction lua_tocfunction(lua_State * L, int idx)","5"
"lua_tointeger","14c991b80","undefined lua_tointeger()","48"
"lua_tointeger","141a124b0","thunk undefined lua_tointeger()","5"
"lua_tolstring","14c992060","undefined lua_tolstring()","158"
"lua_tolstring","141a124e0","thunk undefined lua_tolstring()","5"
"lua_tonumber","14c9924d0","undefined lua_tonumber()","50"
"lua_tonumber","141a12580","thunk undefined lua_tonumber()","5"
"lua_topointer","14c992610","undefined lua_topointer()","97"
"lua_topointer","141a125c0","thunk undefined lua_topointer()","5"
"lua_tothread","14c992bc0","undefined lua_tothread()","30"
"lua_tothread","141a12630","thunk undefined lua_tothread()","5"
"lua_touserdata","14c992e00","undefined lua_touserdata()","49"
"lua_touserdata","141a12650","thunk undefined lua_touserdata()","5"
"lua_type","14c9935f0","undefined lua_type()","37"
"lua_type","141a12690","thunk undefined lua_type()","5"
"lua_typename","14c993970","undefined lua_typename()","28"
"lua_typename","141a126c0","thunk undefined lua_typename()","5"
"lua_xmove","14c993c00","undefined lua_xmove()","97"
"lua_xmove","141a126e0","thunk undefined lua_xmove()","5"
"luaB_assert","141a2e890","undefined luaB_assert()","90"
"luaB_cocreate","141a2ed90","undefined luaB_cocreate()","120"
"luaB_collectgarbage","141a2e540","undefined luaB_collectgarbage()","204"
"luaB_coresume","141a2ecf0","undefined luaB_coresume()","154"
"luaB_corunning","141a2ee60","undefined luaB_corunning()","37"
"luaB_costatus","141a2ec80","undefined luaB_costatus()","98"
"luaB_error","141a2e180","undefined luaB_error()","118"
"luaB_gcinfo","141a2e510","undefined luaB_gcinfo()","43"
"luaB_getfenv","141a2e300","undefined luaB_getfenv()","77"
"luaB_getmetatable","141a2e200","undefined luaB_getmetatable()","83"
"luaB_ipairs","141a2f420","undefined luaB_ipairs()","70"
"luaB_load","141a2e790","undefined luaB_load()","143"
"luaB_loadfile","141a2e730","undefined luaB_loadfile()","82"
"luaB_loadstring","141a2e6b0","undefined luaB_loadstring()","125"
"luaB_newproxy","141a2f470","undefined luaB_newproxy()","244"
"luaB_pairs","141a2f570","undefined luaB_pairs()","68"
"luaB_pcall","141a2ea90","undefined luaB_pcall()","86"
"luaB_rawequal","141a2e410","undefined luaB_rawequal()","70"
"luaB_rawget","141a2e460","undefined luaB_rawget()","73"
"luaB_rawset","141a2e4b0","undefined luaB_rawset()","86"
"luaB_setfenv","141a2e350","undefined luaB_setfenv()","185"
"luaB_setmetatable","141a2e260","undefined luaB_setmetatable()","152"
"luaB_tonumber","141a2e050","undefined luaB_tonumber()","300"
"luaB_tostring","141a2eb60","undefined luaB_tostring()","283"
"luaB_type","141a2e610","undefined luaB_type()","64"
"luaB_unpack","141a2e8f0","undefined luaB_unpack()","238"
"luaB_xpcall","141a2eaf0","undefined luaB_xpcall()","106"
"luaB_yield","141a2ee40","undefined luaB_yield()","108"
"luaC_barrierf","14ca9c9d0","undefined luaC_barrierf()","21"
"luaC_barrierf","141a220b0","thunk undefined luaC_barrierf()","5"
"luaC_fullgc","14ca9d1d0","undefined luaC_fullgc()","169"
"luaC_fullgc","141a22430","thunk undefined luaC_fullgc()","5"
"luaC_link","14ca9d530","undefined luaC_link()","30"
"luaC_link","141a224e0","thunk undefined luaC_link()","5"
"luaC_objbarrier","141a220d0","undefined luaC_objbarrier()","40"
"luaC_stepMaybe","141a22670","undefined luaC_stepMaybe()","558"
"luaD_call","14c993ef0","undefined luaD_call()","163"
"luaD_call","141a12d40","thunk undefined luaD_call()","5"
"luaD_growstack","14c994470","undefined luaD_growstack()","22"
"luaD_growstack","141a12f20","thunk undefined luaD_growstack()","5"
"luaD_pcall","14c9948a0","undefined luaD_pcall(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined8 param_5)","254"
"luaD_pcall","141a12f40","thunk undefined luaD_pcall(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined8 param_5)","5"
"luaD_protectedparser","14c9955f0","undefined luaD_protectedparser()","122"
"luaD_protectedparser","141a13330","thunk undefined luaD_protectedparser()","5"
"luaD_rawrunprotected","14c995ce0","undefined luaD_rawrunprotected()","173"
"luaD_rawrunprotected","141a133a0","thunk undefined luaD_rawrunprotected()","5"
"luaD_reallocCI","14c996010","undefined luaD_reallocCI()","168"
"luaD_reallocCI","141a13450","thunk undefined luaD_reallocCI()","5"
"luaD_reallocstack","14c996370","undefined luaD_reallocstack()","322"
"luaD_reallocstack","141a13500","thunk undefined luaD_reallocstack()","5"
"luaD_seterrorobj","14c996630","undefined luaD_seterrorobj()","175"
"luaD_seterrorobj","141a13590","thunk undefined luaD_seterrorobj()","5"
"luaD_throw","14c996800","undefined luaD_throw()","98"
"luaD_throw","141a13640","thunk undefined luaD_throw()","5"
"luaE_newthread","14c9a4e60","undefined luaE_newthread()","194"
"luaE_newthread","141a16740","thunk undefined luaE_newthread()","5"
"luaF_close","141a21770","undefined luaF_close()","222"
"luaF_getlocalname","14ca9b1a0","undefined luaF_getlocalname()","74"
"luaF_getlocalname","141a21a40","thunk undefined luaF_getlocalname()","5"
"luaF_newCclosure","14ca9b520","undefined luaF_newCclosure()","102"
"luaF_newCclosure","141a21a90","thunk undefined luaF_newCclosure()","5"
"luaF_newproto","14ca9bca0","undefined luaF_newproto()","111"
"luaF_newproto","141a21b80","thunk undefined luaF_newproto()","5"
"luaG_aritherror","14ca97430","undefined luaG_aritherror()","78"
"luaG_aritherror","141a20cb0","thunk undefined luaG_aritherror()","5"
"luaG_concaterror","14ca976a0","undefined luaG_concaterror()","25"
"luaG_concaterror","141a20d20","thunk undefined luaG_concaterror()","5"
"luaG_errormsg","14ca97b60","undefined luaG_errormsg()","178"
"luaG_errormsg","141a20d40","thunk undefined luaG_errormsg()","5"
"luaG_ordererror","14ca97f70","undefined luaG_ordererror()","78"
"luaG_ordererror","141a20df0","thunk undefined luaG_ordererror()","5"
"luaG_runerror","14ca98450","undefined luaG_runerror()","58"
"luaG_runerror","141a20e40","thunk undefined luaG_runerror()","5"
"luaG_typeerror","14ca991e0","undefined luaG_typeerror()","199"
"luaG_typeerror","141a20e80","thunk undefined luaG_typeerror()","5"
"luaH_get","14caa0380","undefined luaH_get()","200"
"luaH_get","141a23c10","thunk undefined luaH_get()","5"
"luaH_getnum","14caa05f0","undefined luaH_getnum()","136"
"luaH_getnum","141a23d60","thunk undefined luaH_getnum()","5"
"luaH_new","14caa1160","undefined luaH_new()","143"
"luaH_new","141a23e40","thunk undefined luaH_new()","5"
"luaH_next","14caa1390","undefined luaH_next()","274"
"luaH_next","141a23ed0","thunk undefined luaH_next()","5"
"luaH_set","14caa18f0","undefined luaH_set()","102"
"luaH_set","141a24020","thunk undefined luaH_set()","5"
"luaH_setnum","14caa1a10","undefined luaH_setnum()","101"
"luaH_setnum","141a24090","thunk undefined luaH_setnum()","5"
"luaI_openlib","141a18410","undefined luaI_openlib()","383"
"luaK_checkstack","14caac5c0","undefined luaK_checkstack()","71"
"luaK_checkstack","141a3acc0","thunk undefined luaK_checkstack()","5"
"luaK_code","141a3ad10","undefined luaK_code()","232"
"luaK_codeABC","14caace00","undefined luaK_codeABC(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined4 param_5)","36"
"luaK_codeABC","141a3ae00","thunk undefined luaK_codeABC(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined4 param_5)","5"
"luaK_codeABx","14caad0d0","undefined luaK_codeABx()","27"
"luaK_codeABx","141a3ae30","thunk undefined luaK_codeABx()","5"
"luaK_concat","14caad620","undefined luaK_concat()","76"
"luaK_concat","141a3ae50","thunk undefined luaK_concat()","5"
"luaK_dischargevars","141a3aea0","undefined luaK_dischargevars()","182"
"luaK_jump","14caaf560","undefined luaK_jump()","160"
"luaK_jump","141a3b4f0","thunk undefined luaK_jump()","5"
"luaK_numberK","14caafc60","undefined luaK_numberK()","38"
"luaK_numberK","141a3b630","thunk undefined luaK_numberK()","5"
"luaK_patchtohere","14cab09a0","undefined luaK_patchtohere()","92"
"luaK_patchtohere","141a3b6f0","thunk undefined luaK_patchtohere()","5"
"luaK_reserveregs","14cab1570","undefined luaK_reserveregs()","107"
"luaK_reserveregs","141a3ba70","thunk undefined luaK_reserveregs()","5"
"luaL_addlstring","141a16f80","undefined luaL_addlstring()","149"
"luaL_addvalue","14c9a5d20","undefined luaL_addvalue()","181"
"luaL_addvalue","141a17040","thunk undefined luaL_addvalue()","5"
"luaL_argerror","14c9a5ff0","undefined luaL_argerror()","237"
"luaL_argerror","141a17100","thunk undefined luaL_argerror()","5"
"luaL_buffinit","14c9a6230","undefined luaL_buffinit()","19"
"luaL_buffinit","141a171f0","thunk undefined luaL_buffinit()","5"
"luaL_callmeta","14c9a6740","undefined luaL_callmeta()","125"
"luaL_callmeta","141a17210","thunk undefined luaL_callmeta()","5"
"luaL_checkany","14c9a6b30","undefined luaL_checkany()","53"
