"Label","Location","Function Signature","Function Size"
"luaS_newlstr","141a23650","thunk undefined luaS_newlstr()","5"
"luaS_newudata","14c214b60","undefined luaS_newudata()","139"
"luaS_newudata","141a23810","thunk undefined luaS_newudata()","5"
"luaT_gettmbyobj","14c218650","undefined luaT_gettmbyobj()","74"
"luaT_gettmbyobj","141a27500","thunk undefined luaT_gettmbyobj()","5"
"luaV_concat","141a257e0","undefined luaV_concat()","663"
"luaV_execute","141a25bd0","undefined luaV_execute()","4999"
"luaV_gettable","14c2176b0","undefined luaV_gettable()","266"
"luaV_gettable","141a26ff0","thunk undefined luaV_gettable()","5"
"luaV_lessthan","14c217890","undefined luaV_lessthan()","157"
"luaV_lessthan","141a27100","thunk undefined luaV_lessthan()","5"
"luaV_settable","141a271a0","undefined luaV_settable()","347"
"luaV_tonumber","14c217be0","undefined luaV_tonumber()","85"
"luaV_tonumber","141a27300","thunk undefined luaV_tonumber()","5"
"luaX_lexerror","14c21b6b0","undefined luaX_lexerror()","171"
"luaX_lexerror","141a2d130","thunk undefined luaX_lexerror()","5"
"luaX_next","14c21c830","undefined luaX_next()","70"
"luaX_next","141a2d280","thunk undefined luaX_next()","5"
"luaX_syntaxerror","141a2d370","undefined luaX_syntaxerror()","9"
"luaX_token2str","14c21d1b0","undefined luaX_token2str()","98"
"luaX_token2str","141a2d380","thunk undefined luaX_token2str()","5"
"OpenLua","143139400","undefined OpenLua()","233"
"OpenLua","14006a420","thunk undefined OpenLua()","5"
